  位置      位置描述   车位描述  计时价格（元/小时）（382-637）  经、纬度
东滨河路临时占道停车场 北京市东城区民旺园19北京老干部大学附近	车位数100个 10 39.9507040731 116.4297819202
煤渣胡同临时占道停车场 北京市东城区煤渣胡同 车位数30个 10 39.9141580000 116.4151840000
东直门内北小街临时占道停车场 北京市东城区东直门北小街 车位数30个 10 39.9462890000 116.4255450000
东直门内大街临时占道停车场 北京市东城区东直门内大街 车位数79个 10 39.8938600000 116.4287950000
白桥大街临时占道停车场 北京市东城区白桥大街 车位数30个 10 39.8961750000 116.4392850000
西总部胡同临时占道停车场 北京市东城区西总布胡同 车位数17个 10 39.9120830000 116.4216840000
东直门内大街西段（北新桥至小街） 北京市东城区北新桥 车位数58个 10 39.9408070000 116.4168850000
马家堡路、陶然大厦南侧路临时占道停车场 北京市东城区陶然大厦 车位数21个 10 39.8698390000 116.3885040000
中海紫御公馆东侧临时占道停车场 北京市东城区中海紫御公馆 车位数75个 10 39.8699720000 116.3921890000
北京市昌平区城区镇昌永顺停车场 北京市昌平区 车位数11个 2 40.2180860000 116.2359090000
北京市昌平区城区镇鼓楼东街、鼓楼南北大街、永安路、永安南路、南环路、南环东路路停车场 北京市昌平区鼓楼东街 车位数1141 2 40.2244190000 116.2364270000
北京市昌平区东小口镇天通苑白坊路路侧占道停车场? 北京市昌平区天通苑北街道国泰百货(天通苑店) 车位数92个 2 40.0737000000 116.4352350000
北京市昌平区东小口镇天通苑立水桥东三路 北京市昌平区立水桥东三路 车位数58个 2 40.0741390000 116.4285350000
北京市昌平区东小口镇天通苑太平庄东路路侧占道停车场 北京市昌平区天通苑北街道太平庄东路7号 车位数218个 2 40.0686100000 116.4297320000
北京市昌平区东小口镇天通苑立水桥东一路路侧占道停车场 北京市朝阳区立水桥东一路 车位数190个 2 40.0649070000 116.4213260000
北京市昌平区东小口镇天通苑立水桥东二路路侧占道停车场 北京市朝阳区立水桥东二路 车位数182个 2 40.0649910000 116.4248810000
北京市昌平区东小口镇天通苑太平庄中一路路侧占道停车场 北京市昌平区天通苑北街道CostaCoffee(天通苑店) 车位数85个 2 40.0709920000 116.4145930000
北京市昌平区东小口镇天通苑太平庄中街路侧占道停车场 北京市昌平区天通苑南街道丽水园3号楼 车位数108个 2 40.0679610000 116.4184020000
北京市昌平区东小口镇天通苑太平庄中二街路侧占道停车场 北京市昌平区天通苑北街道碧水宾馆 车位数426个 2 40.0741410000 116.4139920000
杨庄路停车场 石景山杨庄路停车场 车位数80个 2 39.9227290000 116.1937030000
杨庄路（南侧）停车场 北京市石景山区八角街道杨庄路21-12号 车位数59个 2 39.9220941700 116.1928390000
古城南路停车场 北京市石景山区古城南路45号楼附近 车位数18个 2 39.9107590000 116.1936110000
鲁谷路停车场 北京市石景山区鲁谷路 车位数612个 6 39.9038770000 116.2266690000
银河东街停车场 京市石景山区银河东街 车位数64个 6 39.9054910000 116.2239000000
政达路停车场 北京市石景山区政达路 车位数126个 6 39.9054990000 116.2249300000
鲁谷大街（北段）停车场 北京市石景山区鲁谷大街北段 车位数70个 6 39.8962360000 116.2297360000
鲁谷东街（北段）东侧停车场 北京市石景山区鲁谷东街 车位数32个 6 39.8957750000 116.2360310000
鲁谷东街（北段）西侧停车场 北京市石景山区八宝山街道鲁谷东街43号 车位数21个 6 39.8957500000 116.2357980000
鲁谷东街（南段）停车场 鲁谷东街（南段）停车场 车位数94个 6 39.8943760000 116.2361730000
重聚路占道停车场 北京市石景山区重聚路 车位数104个 6 39.89590000 116.2332150000
鲁谷南路停车场 北京市石景山区鲁谷南路23-1号附近 车位数47个 6 39.9007990000 116.2191850000
严正街停车场 北京市石景山区严正街附近 车位数73个 6 39.9039190000 116.2339400000
雕塑园南街停车场 北京市石景山区雕塑园南街 车位数118个 6 39.9005580000 116.2430190000
重聚中街停车场 北京市石景山区重聚路36号附近 车位数67个 2 39.8946720000 116.2227940000
京原西路两侧停车场 北京市石景山区京原西路 车位数71个 2 39.9015240000 116.2078250000
依翠园中路北侧停车场 北京市石景山区依翠园中路北侧停车场 车位数71个 6 39.9006840000 116.2163310000
八角北路南侧停车场 北京市石景山区八角北路 车位数60个 2 39.9168320000 116.2022630000
实兴大街东侧停车场 北京市石景山区实兴北大街东侧 车位数66个 2 39.8604510000 116.2929310000
金顶路西段南北双侧停车场 北京市石景山区金顶西街 车位数71个 2 39.9264790000 116.1610260000
杨庄北区中街停车场 北京市石景山区杨庄北区南路口北50米 车位数38个 2 39.9271430000 116.1920470000
杨庄北区东街停车场 北京市石景山区杨庄北区 车位数38个 2 39.9160730000 116.1962200000
阜南二街东侧停车场 北京市石景山区阜南二街 车位数21个 2 39.9240990000 116.1938860000
鲁谷村路路侧停车场 北京市石景山区鲁谷村路 车位数99个 6 39.9006610000 116.2403490000
鲁谷西街（南段）路侧停车场 北京市石景山区鲁谷西街 车位数31个 6 39.9050030000 116.2266620000
重兴嘉园路路侧停车场 北京市石景山区重兴嘉园路侧 车位数75个 6 39.8913880000 116.2302470000
雕塑园中街路侧停车场（东西双侧） 北京市石景山区雕塑园中街 车位数71个 6 39.9053960000 116.2430040000
石槽中街临时占道停车场 北京市石景山区石槽中街 车位数134个 6 39.9000820000 116.2489780000
石槽东路北侧临时占道停车场 北京市石景山区石槽东路 车位数30个 6 39.89003410000 116.2514650000
石景山区时代花园中路南北两侧占道停车场 北京市石景山区时代花园中路 车位数44个 6 39.9199650000 116.2003160000
石景山区老山南路（西段）南北两侧占道停车场 北京市石景山区老山南路24号附近 车位数30个 2 39.9107440000 116.2190250000
石景山区鲁谷大街（南段）东西两侧占道停车场 北京市石景山区鲁谷大街 车位数67个 2 39.8962360000 116.2297360000
门头沟区路侧及公共区域停车场 北京市门头沟区 车位数3200个 2 39.9371830000 116.1053770000
西六环下 北京市门头沟区西六环 车位数203个 2 39.9333040000 116.1200180000
门头沟军庄镇曹家沟停车场 北京市门头沟区曹家沟 车位数257个 2 39.986130000 116.0984950000
门头沟区军庄村南坡停车场 北京市门头沟区军庄村委会 车位数140个 2 40.0087090000 116.0863340000
新华大街两侧停车场 北京市通州区新华大街 车位数97个 2 39.9077450000 116.6762770000
小楼饭店前停车场 北京市通州区小楼饭店 车位数17个 2 39.9074440000 116.6690290000
怡乐南街路侧占道停车场 北京市通州区怡乐南街 车位数79个 2 39.8760490000 116.6250760000
玉桥西里中街路侧占道停车场 北京市通州区玉桥西里中街 车位数66个 2 39.8885190000 116.6760100000
玉桥西路路侧占道停车场 北京市通州区玉桥西路 车位数74个 2 39.8922840000 116.6714320000
怡乐中街路侧占道停车场 北京市通州区怡乐中路 车位数104个 2 39.8789250000 116.6352460000
